fruditot;hedelmä- ja marjaruoat;fi
frufresh;hedelmät, tuoreet;fi
frubsal;hedelmä- ja marjasalaatit;fi
berfresh;marjat;fi
frubsoup;marjakiisselit, -keitot;fi
frubdish;marja- tai hedelmäruoka ilman piirakoita;fi
frubjuic;täysmehut;fi
frubpast;poistettu_marjapaistokset;fi
legutot;palkokasvit, palkokasviruoat;fi
legumes;palkokasvit;fi
leguprod;palkokasvivalmiste;fi
legudish;palkokasviruoat;fi
legusoup;palkokasvikeitot;fi
legusauc;palkokasvikastikkeet;fi
vegditot;kasvikset, kasvisruoat;fi
vegfresh;kasvikset, tuoreet;fi
vegpot;kypsennetyt kasvikset;fi
vegdish;kasvispääruoat;fi
vegsoup;kasviskeitot;fi
vegsauc;kasviskastikkeet;fi
mushrdi;sieniruoat;fi
vegcann;kasvissäilykkeet;fi
vegjuice;kasvismehut;fi
vegcass;poistettu_kasvislaatikot;fi
saladtot;salaatit;fi
saladveg;kasvissalaatit;fi
saladmix;yhdistelmäsalaatit;fi
saladmay;majoneesisalaatit;fi
potatot;perunat;fi
potacook;perunat, keitetyt;fi
potadish;perunaruoat;fi
potafrie;paistetut perunat, ranskanperunat;fi
potafat;poistettu_paistetut perunat, kermaperunat;fi
cebaktot;vilja ja leivontatuotteet;fi
brmix;leipä, seka- tai jyväleipä;fi
brwhite;leipä, vehnä-;fi
brrye;leipä, ruis-;fi
bun;kahvileipä;fi
baksweet;leivonnainen makea;fi
baksalt;leivonnainen suolainen;fi
pancake;ohukaiset ;fi
sandwich;voileivät ja hampurilaiset;fi
biscuswe;makeat keksit ja pikkuleivät;fi
biscusav;voileipäkeksit;fi
riceadd;riisilisäke;fi
pastaadd;pastalisäke;fi
porr;puuro;fi
cerbrkf;aamiaisviljavalmisteet;fi
cerbar;viljapatukat;fi
pizza;pizza;fi
flour;jauhot;fi
biscuit;poistettu_keksit, pikkuleivät;fi
cerpr;poistettu_paistokset yms. sekalaiset;fi
milkdtot;maidot ja maitoruoat;fi
milkff;maitojuoma rasvaton;fi
milklf;maitojuomat <2%;fi
milkhf;maitojuomat >2%;fi
smilk;piimä;fi
cream;kerma;fi
yoghurt;jogurtit;fi
milkcurl;viili;fi
curd;rahka;fi
soucream;hapanmaitotuotteet, muut;fi
cheescur;juustot, kypsytetyt juustot;fi
cheesunc;juustot, tuorejuustot;fi
cheespro;juustot, sulatejuustot;fi
icecream;jäätelö;fi
milkpudd;maitojälkiruoat;fi
milksauc;maitokastikkeet;fi
cheeshar;poistettu_juustot, kovat;fi
cheesoft;poistettu_juustot, sulate- ja tuore-;fi
vegchees;poistettu_juusto, kasvirasva-;fi
fattot;rasva ja rasvavalmisteet;fi
butter;voi, maitorasva;fi
fatanim;eläinrasva;fi
buttehig;rasvaseokset>= 55 %;fi
buttelow;rasvaseokset < 55 %;fi
vegfatlo;margariini ja  rasvalevite <55%;fi
vegfathi;margariini ja rasvalevitteet >= 55%;fi
fatcook;ruoanvalmistus- ja teollisuusrasva;fi
saladdre;salaatinkastikkeet ja majoneesit;fi
oil;öljy;fi
brfbutt;poistettu_leipärasva voi tai maitorasvalevite >60 %;fi
brfmarg;poistettu_leipärasva margariini tai rasvalevite >55 %;fi
brflowf;poistettu_leipärasva margariini, rasvalevite ja  rasvaseos <55%;fi
dressing;poistettu_salaatinkastikkeet ja öljyt;fi
fatprod;poistettu_muut rasvat;fi
fatsauce;poistettu_rasvakastikkeet;fi
eggdish;kananmunat;fi
eggs;kananmuna;fi
eggmix;kananmunaruoat;fi
fishdtot;kalaruoat;fi
fish;kalat;fi
fishprod;kalavalmiste;fi
fishsoup;kalakeitot;fi
fishdish;kalaruoat;fi
fishsauc;kalakastikkeet;fi
seafood;äyriäiset ja nilviäiset;fi
seafdish;äyriäis- tai nilviäisruoat;fi
seafsoup;äyriäis- tai nilviäiskeitto;fi
seafsauc;äyriäis- tai nilviäiskastike;fi
insect;syötävät hyönteiset;fi
fishcass;poistettu_kalalaatikot;fi
fishdoth;poistettu_muut kalaruoat;fi
meatdtot;liharuoat;fi
msteak;pihvit, kyljykset;fi
meatsoup;lihakeitot;fi
meatdish;liharuoat;fi
poultry;kanat ja muut linnut;fi
poultdis;linturuoat;fi
poultsou;lintukeitot;fi
poulsauc;lintukastikkeet;fi
meatprod;lihavalmisteet;fi
sauscuts;makkaraleikkeleet;fi
meatcuts;lihaleikkeleet;fi
sausage;makkarat;fi
offaldi;sisäelinruoat;fi
mincmed;poistettu_jauheliharuoat;fi
meatpot;poistettu_lihapadat;fi
meatcass;poistettu_lihalaatikot;fi
poultdi;poistettu_kanaruoat;fi
sausdish;poistettu_makkararuoat;fi
bevtot;juomat;fi
coffee;kahvi;fi
tea;tee;fi
drwater;vedet;fi
drjuice;mehujuomat;fi
drinkso;virvoitusjuomat, sokeroidut;fi
drinkart;keinotekoisesti makeutetut juomat;fi
drsport;urheilujuomat;fi
drinkoth;muut juomat;fi
drinkco;poistettu_kofeiinipitoiset virvoitusjuomat;fi
alctot;alkoholijuomat;fi
beer;oluet;fi
cider;siiderit;fi
wine;viinit;fi
spirit;väkevät viinat;fi
alcoth;alkoholijuomat, muut;fi
sugartot;sokeri, makeiset;fi
sugadd;sokerit, siirapit;fi
sweet;makeiset;fi
chocol;suklaa;fi
jam;hillot, marmeladit;fi
misctot;sekalaiset;fi
spices;mausteet;fi
spisauce;maustekastikkeet;fi
savsauce;kastikkeet ja liemet ;fi
dessauce;jälkiruokakastikkeet;fi
ingrmisc;sekalaiset ruoka-aineet;fi
snack;poistettu_naposteltavat;fi
snacktot;naposteltavat;fi
snacksav;suolaiset naposteltavat;fi
snackveg;pähkinät, siemenet ja kuivatut hedelmät;fi
babyftot;lastenruoat;fi
babmeatd;baby lasten liharuokavalmiste;fi
babfishd;baby lasten kalaruokavalmiste;fi
babmilpo;baby lasten maitopuuro;fi
babwatpo;baby lasten puuro veteen;fi
babfrub;baby hedelmä- ja marjavalmiste;fi
babvege;baby lasten kasvisvalmiste;fi
babmifru;baby lasten hedelmämaitovalmiste;fi
babother;lastenruoat tarkentamattomat;fi
mmilk;äidinmaito ja äidinmaitokorvikkeet;fi
infmilk;tavanomaiset äidinmaidonkorvikkeet ja äidinmaito;fi
casmilk;kaseiinihydrolysaatit, äidinmaidonkorvikkeet;fi
premilk;keskosten äidinmaidonkorvikkeet;fi
soymilk;soijapohjaiset äidinmaidonkorvikkeet;fi
wheymilk;heraproteiinihydrolysaatit, äidinmaidonkorvikkeet;fi
aminmilk;aminohappovalmisteet, äidinmaidonkorvikkeet;fi
spectot;ravintovalmisteet;fi
specsupp;ravintoainevalmisteet;fi
mealrep;ateriankorvikkeet;fi
sportfoo;urheiluvalmisteet muut kuin juomat;fi
specfood;kliiniset ravintovalmisteet;fi
meatsauc;lihakastikkeet;fi
